"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"x-ECON: Explainable Event-Consumption Commonsense Reasoning","X. Ding; B. Cai; X. Li; T. Liu; B. Qin","Social Computing and Information Retrieval Research Center, Harbin Institute of Technology, Harbin, China; Social Computing and Information Retrieval Research Center, Harbin Institute of Technology, Harbin, China; School of International Studies, Harbin Institute of Technology, Harbin, China; Social Computing and Information Retrieval Research Center, Harbin Institute of Technology, Harbin, China; Social Computing and Information Retrieval Research Center, Harbin Institute of Technology, Harbin, China",IEEE Transactions on Big Data,"14 May 2025","2025","11","3","1066","1077","This article investigates a novel commonsense inference task that comprises reasoning about the subsequent events chains and probable consumption intents, given an event described in brief free-form text. For instance, given the event “fall in love”, the system anticipates ensuing events such as “get married”$\rightarrow$→“be pregnant”$\rightarrow$→“have a baby”. Concurrently, the system predicts the likely consumption intents of the event participants, such as purchasing “jewelry”, “maternity clothing”, and “baby food”. The event chains generated in this process provide explicit, meaningful explanations, aiding the understanding of inferred consumption intents. To facilitate this study, we construct a new crowdsourced corpus: x-ECON. This corpus comprises 10,144 event chains and 150 event-related product categories, offering a wide range of everyday consumer events and situations. We introduce a baseline reasoning framework that not only infers consumption intent but also generates an event chain to explain its inference. Our experimental results suggest that involving the event chain reasoning in the event-consumption reasoning system can help improve the neural networks’ reason about the probable consumption intents of the event participants. Additionally, our method demonstrates the applicability of our approach in improving the performance of recommendation systems, by highlighting the role of explainable commonsense inference on the consumption intent. We also evaluated the performance of ChatGPT on our x-ECON dataset, showing that explainable event-consumption commonsense reasoning is a challenging task for large language models.","2332-7790","","10.1109/TBDATA.2023.3348999","Technological Innovation “2030 Megaproject” - New Generation Artificial Intelligence of China(grant numbers:2020AAA0106501); National Natural Science Foundation of China(grant numbers:U22B2059,62176079); Industry-University-Research Innovation Foundation of China University(grant numbers:2021ITA05009); Natural Science Foundation of Heilongjiang Province(grant numbers:YQ2022F005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10379136","Commonsense reasoning;knowledge acquisition;natural language processing","Task analysis;Pediatrics;Clothing;Electrocardiography;Annotations;Pregnancy;Crowdsourcing","","2","","49","IEEE","1 Jan 2024","June 2025","","IEEE","IEEE Journals"
"Targeted Mining Precise-Positioning Episode Rules","J. Zhu; X. Chen; W. Gan; Z. Chen; P. S. Yu","School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; College of Cyber Security, Jinan University, Guangzhou, China; College of Cyber Security, Jinan University, Guangzhou, China; University of Illinois Chicago, Chicago, IL, USA",IEEE Transactions on Emerging Topics in Computational Intelligence,"23 Jan 2025","2025","9","1","904","917","The era characterized by an exponential increase in data has led to the widespread adoption of data intelligence as a crucial task. Within the field of data mining, frequent episode mining has emerged as an effective tool for extracting valuable and essential information from event sequences. Numerous algorithms have been developed to discover frequent episodes and subsequently derive episode rules based on the frequency function and anti-monotonicity principles. However, currently, there is a lack of algorithms specifically designed for mining episode rules that encompass user-specified query episodes. To address this challenge and enable the mining of target episode rules, we introduce the definition of targeted precise-positioning episode rules and formulate the problem of targeted mining precise-positioning episode rules. Most importantly, we develop an algorithm called Targeted Mining Precision Episode Rules (TaMIPER) to address the problem and optimize it using four proposed strategies, leading to significant reductions in both time and space resource requirements. As a result, TaMIPER offers high accuracy and efficiency in mining episode rules of user interest and holds promising potential for prediction tasks in various domains, such as weather observation, network intrusion, and e-commerce. Experimental results on six real datasets demonstrate the exceptional performance of TaMIPER.","2471-285X","","10.1109/TETCI.2024.3424492","National Natural Science Foundation of China(grant numbers:62237001,62272196,62122022); National Key R&D Program of China(grant numbers:2021ZD0111501); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2022A1515011590,2022A1515011861); Guangzhou Basic and Applied Basic Research Foundation(grant numbers:2024A04J9971); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10595057","Data intelligence;episode rule;rule mining;precise-positioning;targeted mining","Data mining;Itemsets;Finite element analysis;Time series analysis;Time factors","","3","","46","IEEE","11 Jul 2024","Feb. 2025","","IEEE","IEEE Journals"
"Shilling Attacks and Fake Reviews Injection: Principles, Models, and Datasets","D. Nawara; A. Aly; R. Kashef","Department of Electrical, Computer, and Biomedical Engineering, Toronto Metropolitan University, Toronto, ON, Canada; Department of Electrical, Computer, and Biomedical Engineering, Toronto Metropolitan University, Toronto, ON, Canada; Department of Electrical, Computer, and Biomedical Engineering, Toronto Metropolitan University, Toronto, ON, Canada",IEEE Transactions on Computational Social Systems,"28 Jan 2025","2025","12","1","362","375","Recommendation systems have proved to be a compelling performance in overcoming the data overload problem in many domains, such as e-commerce, e-health, and transportation. Recommender systems guide users/clients to personalized recommendations based on their preferences. However, some recommendation systems are vulnerable to shilling attacks, which create rating biases or fake reviews that will eventually affect the authenticity and integrity of the generated recommendations. This survey comprehensively covers various shilling attack methods, including high-knowledge, low-knowledge attacks, and obfuscated attacks. It explores malicious review generators that generate fake text. In addition to that, this survey covers shilling attack detection methods such as supervised, unsupervised, semisupervised, and hybrid techniques. Natural Language Processing techniques are also thoroughly explored for fake text review detection using large language models (LLMs). A wide range of detection mechanisms incorporated in the literature is examined, such as convolutional neural network (CNN), long short term memory (LSTM)-based detectors for rating-based shilling attacks, and bidirectional encoder representation (BERT) and RoBERTa-based detectors for fake reviews that are accompanied by shilling attacks, aiming to offer insights into the evolving methods of shilling attack strategies and the corresponding advancements in the detection methods.","2329-924X","","10.1109/TCSS.2024.3465008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10716004","Fake reviews;large language models (LLMs);profile injection;recommendation systems;shilling attacks","Recommender systems;Reviews;Fake news;Surveys;Motion pictures;Collaboration;Standards;Robustness;Knowledge engineering;Knowledge based systems","","18","","122","CCBYNCND","14 Oct 2024","Feb. 2025","","IEEE","IEEE Journals"
"Real-Time Video Forgery Detection via Vision-WiFi Silhouette Correspondence","J. Liu; X. Fang; Y. Chen; J. Yuan; G. Yu; J. Han","School of Information and Electrical Engineering, Hangzhou City University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; School of Information and Electrical Engineering, Hangzhou City University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China",IEEE Transactions on Mobile Computing,"5 Feb 2025","2025","24","3","1585","1601","For safety guard and crime prevention, video surveillance systems have been pervasively deployed in many security-critical scenarios, such as the residence, retail stores, and banks. However, these systems could be infiltrated by the adversary and the video streams would be modified or replaced, i.e., under the video forgery attack. The prevalence of Internet of Things (IoT) devices and the emergence of Deepfake-like techniques severely emphasize the vulnerability of video surveillance systems under such attacks. To secure existing surveillance systems, in this paper we propose a vision-WiFi cross-modal video forgery detection system, namely WiSil. Leveraging a theoretical model based on the principle of signal propagation, WiSil constructs wave front information of the object in the monitoring area from WiFi signals. With a well-designed deep learning network, WiSil further recovers silhouettes from the wave front information. Based on a Siamese network-based semantic feature extractor, WiSil can eventually determine whether a frame is manipulated by comparing the semantic feature vectors extracted from the video’s silhouette with those extracted from the WiFi’s silhouette. We enhance the basic version of WiSil Fang et al. 2023 by developing a model compression method and a forgery trace localization method. Extensive experiments show that WiSil achieves 95%$+$+ accuracy in detecting tampered frames.","1558-0660","","10.1109/TMC.2024.3483550","National Natural Science Foundation of China(grant numbers:U21A20462,62372400); Key Research and Development Program Of Zhejiang Province(grant numbers:2024C01140); “Pioneer” and “Leading Goose” R&D Program of Zhejiang(grant numbers:2023C01033); Key Research and Development Program of Hangzhou City(grant numbers:2023SZD0073); Postdoctoral Fellowship Program of CPSF(grant numbers:GZC20241488); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10726788","WiFi sensing;video forgery detection;deep learning","Wireless fidelity;Forgery;Streaming media;Feature extraction;Real-time systems;Cameras;Video surveillance;Forensics;Data preprocessing;Accuracy","","4","","46","IEEE","21 Oct 2024","March 2025","","IEEE","IEEE Journals"
"Maximizing Influence Query Over Indoor Trajectories","J. Chen; H. Gao; Y. Shi; J. Chen; D. Yang; J. Li","Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; College of Mathematics and Computer Science, Zhejiang Normal University, Jinhua, China; Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China",IEEE Transactions on Knowledge and Data Engineering,"27 Jan 2025","2025","37","3","1294","1310","Maximizing Influence (Max-Inf) query is a fundamental operation in spatial data management. This query returns an optimal site from a candidate set to maximize its influence. Existing work commonly focuses on outdoor spaces. In practice, however, people spend up to 87% of their daily life inside indoor spaces. The outdoor techniques fall short in indoor spaces due to the complicated topology of indoor spaces. In this paper, we formulate two indoor Max-Inf queries: Top-$k$k Probabilistic Influence Query (T$k$kPI) and Collective-$k$k Probabilistic Influence Query (C$k$kPI) taking probability and mobility factors into consideration. We propose a novel spatial index, IT-tree, which utilizes the properties of indoor venues to facilitate the indoor distance computation, and then applies a trie to further organize the trajectories with similar check-in partitions together, based on their sketch information. This structure is simple but highly effective in pruning the trajectory search space. To process T$k$kPI efficiently, we devise subtree pruning and progressive pruning techniques to delicately filter out unnecessary trajectories based on probability bounds and the monotonicity of influence probability. For C$k$kPI queries, which is a submodular NP-hard problem, three approximation algorithms are provided with different strategies of computing marginal influence value during the search. Through extensive experiments on several real indoor venues, we demonstrate the efficiency and effectiveness of our proposed algorithms.","1558-2191","","10.1109/TKDE.2024.3514323","National Natural Science Foundation of China(grant numbers:U22A2025,72371084,62102119,U21A20513); Taishan Scholars Program of Shandong Province(grant numbers:tsqn202211091); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10787051","Indoor query;pruning strategy;spatial index","Trajectory;Approximation algorithms;Probabilistic logic;Indexing;Emergency services;Costs;Topology;Spatial indexes;Roads;Partitioning algorithms","","","","58","IEEE","9 Dec 2024","March 2025","","IEEE","IEEE Journals"
"GNN-EADD: Graph Neural Network-Based E-Commerce Anomaly Detection via Dual-Stage Learning","Z. Shao; X. Wang; E. Ji; S. Chen; J. Wang","Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA; Department of Computer and Information Science, University of Pennsylvania, Philadelphia, PA, USA; Department of Computer Science, Rutgers University, New Brunswick, NJ, USA; College of Engineering, Texas A&M University, College Station, TX, USA; Viterbi School of Engineering, University of Southern California, Los Angeles, CA, USA",IEEE Access,"17 Jan 2025","2025","13","","8963","8976","E-commerce platforms face significant challenges in detecting anomalous products, including counterfeit goods and fraudulent listings, which can undermine user trust and platform integrity. This paper presents Graph Neural Network-based E-commerce Anomaly Detection via Dual-stage Learning (GNN-EADD), a novel approach leveraging graph neural networks for anomaly detection in large-scale e-commerce ecosystems. Our key contributions include: 1) A heterogeneous graph representation incorporating products, sellers, and buyers as nodes with their relationships as edges; 2) A novel dual-stage learning framework combining unsupervised graph embedding with semi-supervised fine-tuning; and 3) An attention mechanism that effectively captures complex patterns within network structures. Extensive experiments on a large-scale Amazon dataset demonstrate that GNN-EADD significantly outperforms state-of-the-art baselines in terms of anomaly detection accuracy, precision, and recall, while showing robustness to various types of anomalies and scalability to large networks.","2169-3536","","10.1109/ACCESS.2025.3526239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10829566","Graph neural networks;e-commerce;anomaly detection;heterogeneous graphs;graph attention networks","Electronic commerce;Anomaly detection;Graph neural networks;Reviews;Image edge detection;Fraud;Ecosystems;Scalability;Biological system modeling;Vectors","","13","","25","CCBY","6 Jan 2025","2025","","IEEE","IEEE Journals"
"Recommender Systems for Unified Modeling Language and Vice Versa—A Systematic Literature Review","E. A. Marand; A. Sheikhahmadi; M. Challenger; P. Moradi; A. Khalilipour","Department of Computer Engineering, Islamic Azad University, Sanandaj Branch, Sanandaj, Iran; Department of Computer Engineering, Islamic Azad University, Sanandaj Branch, Sanandaj, Iran; Department of Computer Science, University of Antwerp, Antwerp, Belgium; Department of Computer Engineering, University of Kurdistan, Sanandaj, Iran; Department of Computer Science, University of Antwerp, Antwerp, Belgium",IEEE Access,"10 Feb 2025","2025","13","","23426","23460","Recommender systems (RSs) are fundamental tools that address data redundancy and serve as intelligent supplements for tasks such as data retrieval and refinement by analyzing user behavior. Nowadays, RSs are utilized in various domains, ranging from filtering web news based on user preferences to recommending movies, music, books, and articles in e-commerce. Additionally, these systems are extensively employed to facilitate software engineering activities, including modeling. Modeling environments are enriched with RSs that assist in building models by providing recommendations based on previous solutions to similar problems within the same domain. Consequently, there is growing research interest in approaches that aid the modeling process. This paper presents a systematic literature review (SLR) that analyzes how recommender systems techniques are used to suggest UML diagrams, as well as the role of UML diagrams in describing recommender systems. In addition, it discusses methods for evaluating primary studies, the challenges that primary studies have addressed, and the domains of study that primary studies have targeted (based on an analysis of 4789 papers). We believe this study will guide researchers and professionals in identifying recommender system techniques for generating UML diagram suggestions and understanding the overall purpose of using UML diagrams. Furthermore, it may contribute to a broader understanding of the research process and inspire future research on recommender system techniques within other modeling languages. The results show that 45% of the studies use content-based techniques to suggest UML diagrams, with 77% of the recommendations being structural diagrams (such as class diagrams). On the other hand, to design the components of the proposed approaches (recommender systems), behavioral diagrams are generally used (53% on average), focusing on knowledge-based techniques (28% on average). Finally, the study shows that researchers use content-based (38%) and knowledge-based (41%) techniques to recommend design models. The analysis revealed that the following challenges were identified: 19 studies dealt with the cold start problem, 20 studies with sparsity issues, 11 studies with scalability concerns, 3 studies with diversity challenges, and 12 studies with other types of challenges.","2169-3536","","10.1109/ACCESS.2025.3535527","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10855999","Recommender system;unified modeling language (UML);systematic literature review (SLR)","Unified modeling language;Recommender systems;Systematic literature review;Software;Context modeling;Knowledge based systems;Software engineering;Data mining;Collaborative filtering;Termination of employment","","5","","139","CCBY","28 Jan 2025","2025","","IEEE","IEEE Journals"
"Enhancing Trust Factor Identification in E-Commerce: The Role of Text Segmentation and Factor Extraction with Transformer Models","B. F. Alkhalil; Y. Zhuang; K. T. Mursi; A. O. Aseeri","Department of Computer Science, Texas Tech University, Lubbock, Texas; Department of Computer Science, Texas Tech University, Lubbock, Texas; Department of Cybersecurity, University of Jeddah, Jeddah, Saudi Arabia; Department of Computer Science, Prince Sattam Bin Abdulaziz University, Al-Kharj, Saudi Arabia",2025 IEEE 4th International Conference on AI in Cybersecurity (ICAIC),"29 Jan 2025","2025","","","1","8","Online reviews are increasingly crucial as a data source for companies to understand consumer opinion. This study evaluates the impact of text segmentation on the accuracy of pre-trained transformer models such as GPT-3.5, BART, and BERT in analyzing consumer trust factors from online reviews in E-commerce. Our methodology involved manually labeling a dataset comprising 1,499 unsegmented and 4,528 segmented reviews. This process allowed us to compare the effectiveness of the employed models and assess how text segmentation influences the extraction of trust factors. The results demonstrate a substantial $\mathbf{1 2. 1 9 \%}$ increase for GPT-3.5 in model accuracy with segmentation, enhancing the models’ ability to discern nuanced textual elements. Key factors such as product quality and satisfaction with Size/Fit were identified as crucial factors in influencing consumer trust. This study demonstrates how segmentation can be utilized to comprehend consumer opinions in the E-commerce market. It indicates that text segmentation improves NLP applications in digital marketplaces by identifying factors that impact consumer trust, laying the groundwork for future advancements.","","979-8-3315-1888-2","10.1109/ICAIC63015.2025.10849034","Texas Tech University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10849034","Consumer trust;e-commerce;natural language processing;opinion mining;artifcial intelligence;GPT-3.5;BART;BERT;pre-trained transformer models;sentiment analysis","Analytical models;Accuracy;Reviews;Soft sensors;Refining;Transformers;Product design;Quality assessment;Electronic commerce;Labeling","","4","","24","IEEE","29 Jan 2025","5-7 Feb. 2025","5-7 Feb. 2025","IEEE","IEEE Conferences"
"Use of Transfer Learning for Affordable In-Context Fake Review Generation","L. Ibañez-Lissen; L. González-Manzano; J. M. de Fuentes; M. Goyanes","Computer Science, Engineering Department, Universidad Carlos III de Madrid, Getafe, Madrid, Spain; Computer Science, Engineering Department, Universidad Carlos III de Madrid, Getafe, Madrid, Spain; Computer Science, Engineering Department, Universidad Carlos III de Madrid, Getafe, Madrid, Spain; Communication Studies, Universidad Carlos III de Madrid, Getafe, Madrid, Spain",IEEE Transactions on Big Data,"14 May 2025","2025","11","3","976","987","Fake content is a noteworthy threat which is managed by assorted means. This is a serious problem for online shopping platforms whose products can be affected by negative or positive reviews. Artificial intelligence is commonly applied for fake review generation, being transfer learning a promising approach to reduce training requirements. However, the feasibility of generating in-context fake reviews using transfer learning has not been explored yet. This paper analyses the suitability of a couple of transformers (T5 and BART) to generate realistic in-context fake reviews. Results show that 1) the diversity of generated reviews is comparable to existing works; 2) human-based detection is close to random; 3) just reviews generated with one of the used transformers can be detected with 38% precision; and 1 h of training and 8 k real reviews are needed to produce realistic fake reviews.","2332-7790","","10.1109/TBDATA.2025.3536927","Madrid Government; Multiannual Agreement with UC3M; V PRICIT; Excellence Program for University Researchers; INCIBE grant APAMciber within the framework of the Recovery, Transformation and Resilience Plan funds; European Union; UC3M's Requalification programme; Spanish Ministerio de Ciencia, Innovacion y Universidades with EU recovery funds; European Union's Horizon 2020 research and innovation programme(grant numbers:101021377); Funding for APC: Universidad Carlos III de Madrid(grant numbers:CRUE-Madroño 2024); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10858443","Transfer learning;in-context fake reviews;generation;transformers","Fake news;Reviews;Transfer learning;Transformers;Decoding;Hands;Feature extraction;Proposals;Mathematical models;Encoding","","6","","77","CCBY","30 Jan 2025","June 2025","","IEEE","IEEE Journals"
"Optimizing Urban Logistics: Vehicle Routing Problem With Underground Transportation","H. Young Jeong; B. D. Song","Research Institute of Engineering and Technology, Korea University, Seoul, South Korea; School of Industrial and Management Engineering, Korea University, Seoul, South Korea",IEEE Transactions on Intelligent Transportation Systems,"5 May 2025","2025","26","5","6393","6413","In response to increasing congestion and inefficiencies in urban freight transportation systems, driven by the rapid rise of e-commerce and urbanization, underground logistics are emerging as a promising alternative. This study introduces the Vehicle Routing Problem with Underground Transportation (VRP-UT), a novel model that integrates traditional vehicle routing with underground logistics facilities to optimize urban deliveries. To address the model’s complexity, we propose a hybrid solution approach that combines Q-learning with pruning techniques, enhancing route optimization and minimizing unnecessary operations. Comprehensive numerical and sensitivity analyses further validate the model’s effectiveness, positioning VRP-UT as a scalable and efficient solution to meet growing urban logistics demands while supporting sustainable development. A case study, including sensitivity analysis based on Seoul Subway Line 3, demonstrates the practical applicability of the VRP-UT model, highlighting its potential to alleviate surface-level traffic congestion, reduce operational costs, and shorten delivery times in densely populated urban areas.","1558-0016","","10.1109/TITS.2025.3533477","BK21 Fostering Outstanding Universities for Research (FOUR) funded by the Ministry of Education of Korea and the National Research Foundation of Korea (NRF); Institute of Information and Communications Technology Planning and Evaluation (IITP) grant funded by the Korea Government [Ministry of Science and ICT (MSIT)](grant numbers:RS-2024-00438411); NRF grant funded by the Korea Government (MSIT)(grant numbers:RS-2022-NR070854); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10870868","Urban logistics;urban congestion management;last-mile delivery;vehicle routing;mathematical model;metaheuristic","Logistics;Optimization;Transportation;Urban areas;Vehicle routing;Routing;Costs;Vehicle dynamics;Traffic congestion;Sustainable development","","14","","73","CCBY","4 Feb 2025","May 2025","","IEEE","IEEE Journals"
